"AUSTRALIAN_APPL_NO","ABSTRACT_TEXT"
"1992010803","ABSTRACT (11 Document No. AU-A-10803/92 (19) AUSTRALIAN PATENT OFFICE (54) Title FILM CARTRIDGE BAR CODE SCANNER AND CONTROLLER FOR A DIGITAL IMAGING SYSTEM International Patent Classification(s) (51) 5 G03B007/24 G06K009/18 (21) Application No. 10803/92 (22) Application Date 06.02.92 Priority Data (31) Number (32) Date (33) Country 656605 19.02.91 US UNITED STATES OF AMERICA (43) Publication Date 27.08.92 (71) Applicant(s) MINNESOTA MINING AND MANUFACTURING COMPANY (72) Inventor(s) RICHARD RANDALL LEMBERGER; TERRENCE HAROLD JOYCE (74) Attorney or Agent SPRUSON FERGUSON, GPO Box 3898, SYDNEY NSW 2001 (57) Claim 1. A laser imaging system, comprising: a cartridge of photographic film; a machine readable information bearing medium associated with the cartridge and including information characterizing the cartridge and/or film; a laser imager, including: a cartridge receiving mechanism; a laser scanning system including a laser for imaging the film; and a reading device for reading the information from the information bearing medium; and an image management system responsive to image input data and coupled to the laser imager, for controlling the laser imager as a function of the input data and the information read from the information bearing medium. I I"
"1992010803","Claim 1. A laser imaging system, comprising: a cartridge of photographic film; a machine readable information bearing medium associated with the cartridge and including information characterizing the cartridge and/or film; a laser imager, including: a cartridge receiving mechanism; a laser scanning system including a laser for imaging the film; and a reading device for reading the information from the information bearing medium; and an image management system responsive to image input data and coupled to the laser imager, for controlling the laser imager as a function of the input data and the information read from the information bearing medium."
"1992010804","ABSTRACT (11) Document No. AU-A-10804/92 (19) AUSTRALIAN PATENT OFFICE (54) Title CYCLOBUTANE DERIVATIVES International Patent Classification(s) (51) 5 C07D 263/26 (21) Application No.: 10804/92 (22) Application Date 07.02.92 Priority Data (31) Number (32) Date (33) Country 63-224476 09.09.88 JP JAPAN 63-295135 22.11.88 JPJAPAN 1-43036 27.02.89 JP JAPAN 1-158223 22.06.89 JP JAPAN (43) Publication Date 02.04.92 (62) Related to Division(s) 40817/89 (71) Applicant(s) NIPPON KAYAKU KABUSHIKI KAISHA (72) Inventor(s) YUH-ICHIRO ICHIKAWA; AYA NARITA; KAORU MATSUO; KEIKO AOYAMA; FUMIKO MATSUMURA; YUKIHIRO NISHIYAMA; KENICHI MATSUBARA; TAKEMITSU NAGAHATA; HIROO HOSHINO; JUN-ICHI SEKI; KOICHI NARASAKA; YUJIRO HAYASHI (74) Attorney or Agent DAVIES COLLISON CAVE, 1 Little Collins Street, MELBOURNE VIC 3000 (57) Claim 1. A cyclobutane derivative represented by the following general formula (III): R3 S 2 SR SR 1 CO I (III) Y( N A wherein R1 taken individually, represents an alkyl group having 1 to 5 carbon atoms or an aralkyl group or, taken in conjunction of two R1 groups, represents a cyclic alkylene group having 2 to 3 carbon atoms; R2 represents hydrogen atom, alkyl group having 1 to 5 carbon atoms, protected hydroxyalkyl group or protected carboxyl group; R3 represents hydrogen atom, alkyl group having 1 to carbon atoms, alkoxy group having 1 to 5 carbon atoms or aralkyloxy group; A represents straight or branched chain alkylene group having 2 to 5 carbon atoms; Y represents /2 7. (11) 10804/92 -2- oxygen atom or sulfur atom; and Z represents substituted or unsubstituted methylene group, oxygen atom or sulfur atom. 2. A process for the preparation of a cyclobutane derivative as defined in Claim 1 which comprises reacting a compound of the general formula O Y R2CH=CH N Z KA) (I) and a compound of the general formula (II): S R R CH=C SR (II) in the presence of a condensation catalyst wherein R, R2 A, Y and Z are as defined in Claim 1. 7. Compounds of formula (II) or processes for their preparation or methods of treatment involving them substantially as hereinbefore described with reference to the Examples. -4 I"
"1992010804","Claim 1. A cyclobutane derivative represented by the following general formula (III): R3 2 SR RSR SR 1 CO C (III) Z NA wherein R1 taken individually, represents an alkyl group having 1 to 5 carbon atoms or an aralkyl group or, taken in conjunction of two R1 groups, represents a cyclic alkylene group having 2 to 3 carbon atoms; R2 represents hydrogen atom, alkyl group having 1 to 5 carbon atoms, protected hydroxyalkyl group or protected carboxyl group; R3 represents hydrogen atom, alkyl group having 1 to carbon atoms, alkoxy group having 1 to 5 carbon atoms or aralkyloxy group; A represents straight or branched chain alkylene group having 2 to 5 carbon atoms; Y represents ./2 (11) AU-B-10804/92 -2- 638629 oxygen atom or sulfur atom; and Z represents substituted or unsubstituted methylene group, oxygen atom or sulfur atom. 2. A process for the preparation of a cyclobutane derivative as defined in Claim 1 which comprises reacting a compound of the general formula 0 Y R 2CH=CH N Z A) (I) and a compound of the general formula (II): 2 C SR SR (II) in the presence of a condensation catalyst wherein R1 R2 A, Y and Z are as defined in Claim 1."
"1992010805","Claim 1. The photochromic compound represented by the formula N-I1 R R R wherein R1 represents a radical polymerizable unsaturated group or an epoxy ring-opening polymerizable organic functional group; R2 and R5 the same or different, represent hydroxyl group, amino group, C1 C6 alkoxyl /2 (11) AU-B-10805/92 -2- (10)646141 group, C1 C2 0 alkyl group, halogen, carboxyl group, C1 C6 alkanoyl group or nitro group; R6 and R7 the same or different, represent hydrogen, C1 C20 alkyl group, C 6 C 1 4 aryl group, C 7 C 2 0 aralkyl group, with the proviso that R6 and R7 are not simultaneously hydrogen, or R6 and R7 cooperatively represent C3 C1 0 ring with a nitrogen atom; R3 and R4 the same or different, represent C 1 C1 0 alkyl group, C7 C 1 2 aralkyl group, or R and R4 cooperatively represent C6 C8 alicyclic ring with a spiro carbon atom, or a norbornyl or adamantyl group, spiro attached as follows: C- or C-- in which C denotes the spiro carbon shared with the 3- position of the indoline moiety of formula 1 is an integer of 0 or 1; m is an integer of 1 30; and n is an integer of 0 4. 2. The photochromic compound represented by the formula [II] /3 (11) AU-B-10805/92 3 (10)646141 R R C CH- -R 8 R N R R wherein R1 represents the same meaning as in formula R1 0 represents amino group, C1 C6 alkoxyl group, C1 alkyl group, halogen, carboxyl group, Cg C9 alkanoyl group, nitro group or hydrogen; R8 represents C1 C30 alkyl group, phenyl group, phenyl group substituted by B (wherein B represents hydroxyl group, amino group, C1 C20 alkoxyl group, C6 C14 aryl group, C7 aralkyl group, C1 C20 alkyl group, C 1 C20 alkanoyloxy group, nitro group, halogen, and cyano group), C7 C12 aralkyl group, C7 C12 aralkyl group substituted by B (wherein B represents the same meaning as mentioned above), C1 C30 hydroxyalkyl group, Cl C30 aminoalkyl group, C4 C30 alkyl acrylate group, C 4 C30 alkylamide acrylate group, C5 C30 alkyl methacrylate group or C5 alkylamide methacrylate group; R9 is as defined for R1 0 except that it cannot be hydrogen; R3 and R4 represent the same meaning as in formula R6 and R7 represent the same meaning as in formula X represents N or CH; m' represents an integer of 0 and n represents the same meaning as in formula 3. The photochromic compound which is represented by the formula [III]: /I4 (11) AU-B-10805/92 i (10)646141 A a' R6 N R N -N wherein R1 represents the same meaning as in formula R1 1 represents amino group, Cl C6 alkoxyl group, C, alkyl group, halogen, carboxyl group, C1 C9 alkanoyl group, hydroxyl group,.nitro group, Cl hydroxyalkyl group or hydrogen; R1 3 and R1 4 the same or different, represent C1 C10 alkyl group, aryl group, C7 C12 aralkyl group, R1 5 is as defined for R11 except that it cannot be hydrogen, or R1 3 and R1 4 cooperatively represent C6 Cg alicyclic ring with a spiro carbon atom or a norbornyl or adamantyl group as defined for R3 and .R4 in claim 1; A represents C1 C30 alkylene group, Cl alkylene(poly)-oxyalkylene group, or Cg alkylenearylalkylene group; R6 and R7 represent the same meaning as in formula a and b, the same or (11) AU-B-10805/92 646141 different, are 0 or 1 and (a b) is 1 or 2; m' and n represent the same meaning as in formula [II], respectively."
"1992010807","ABSTRACT (11) Document No. AU-A-10807/92 (19) AUSTRALIAN PATENT OFFICE (54) Title SUBMARINE TELECOMMUNICATIONS SYSTEMS International Patent Classification(s) (51) 5 HO4B 003/44 HO2H 007/26 (21) Application No. 10807/92 (22) App Priority Data (31) Number (32) Date (33) Country 9102714 08.02.91 GB UNITED KINGDOh (43) Publication Date: 13.08.92 (71) Applicant(s) NORTHERN TELECOM LIMITED (72) Inventor(s) STEPHEN MICHAEL WEBB (74) Attorney or Agent GRIFFITH HACK CO., GPO Box 4164, SYDNEY NSW 2001 (57) Claim lication Date: 07.02.92 4 1. A branching unit, for use in submarine telecommunications cable systems employing electrical power feeding, the unit having a respective termination for each of three line cables and a termination for a sea earth, which unit includes three electrical relays, only one of which is energised at a time, and is such that when electrical power is supplied between any two of the line cable terminations the third line cable termination is isolated therefrom and coupled to the sea earth termination. t i. I"
"1992010807","Claim ilication Date 07.02.92 A 1. A branching unit, for use in submarine telecommunications cable systems employing electrical power feeding, the unit having a respective termination for each of three line cables and a termination for a sea earth, which unit includes three electrical relays, only one of which is energised at a time, and is such that when electrical power is supplied between any two of the line cable terminations the third line cable termination is isolated therefrom and coupled to the sea earth termination."
"1992010808","ABSTRACT (11) Document No. AU-A-10808/92 (19) AUSTRALIAN PATENT OFFICE (54) Title DEMAND APNEA CONTROL International Patent Classification(s) (51) 5 A61H 031/00 (21) Application No. :10808/92 (22) Application Date 07.02.92 Priority Data (31) Number (32) Date (33) Country 671513 19.03.91 US UNITED STATES OF AMERICA (43) Publication Date 24.09.92 (71) Applicant(s) MEDTRONIC, INC. (72) Inventor(s) MICHAEL KALLOK; TOBY MARKOWITZ (74) Attorney or Agent F B RICE CO 28A Montague Street, BALMAIN NSW 2041 (57) Claim 1. An apparatus comprising: a. first means for sensing a central apnea event; b. first means responsibly coupled to said first sensing means for providing stimulation to a diaphragm of a patient in response to sensing of said central apnea event; c. second means coupled to said first sensing means for sensing an obstructive apnea event; and, d. second means coupled to said second sensing means for generating electrical stimulation of muscles of said patient in response to sensing by said second sensing means of said obstructive apnea event. 0 (11)10808/92 -2- 12. A method of treatinga patient comprising: a. sensing pressure within an upper airway of said patient; b. assuming a central apnea event if said pressure does not reach a first threshold within a predetermined period of time; c. electrically stimulating a diaphragm of said patient in response to said central apnea event assumption; d. assuming an obstructive apnea event if said pressure reaches a second threshold; and, e. electrically stimulating muscles of said patient in response to said assuming said obstructive apnea event. fL"
"1992010808","Claim 1. An apparatus comprising: a. first means for sensing a central apnea event; b. first means responsibly coupled to said first sensing means for providing stimulation to a diaphragm of a patient in response to sensing of said central apnea event; c. second means coupled to said first sensing means for sensing an obstructive apnea event; and, d. second means coupled to said second sensing means for generating electrical stimulation of- -he uper airWay of musclesA of said patient in response to sensing by said second sensing means of said obstructive apnea event. ./2 (11) AU-B-10808/92 -2- 646320 12. A method of treating a patient comprising: a. sensing pressure within an upper airway of said patient; b. assuming a central apnea event if said pressure does not reach a first threshold wiLhin a predetermined period of time; c. electrically stimulating a diaphragm of said patient in response to said central apnea event assumption; d. assuming an obstructive apnea event if said pressure reaches a second threshold; and, e. electrically stimulating muscles of the upper airway of said patient in response to said assuming said obstructive apnea event. i I-"
"1999042436","ABSTRACT: A method for effecting direct reduction of iron oxides in the form of lumps or pellets, in which an ore burden is passed downwardly successively through prereduction and metallization zones of a shaft furnace while passing a flow of rich fuel gas produced by external partial combustion upwardly in counter current through the prereduction zone, and, passing a flow of reducing gas in cocurrent though the metallization zone. The flow of reducing gas is an independent flow that has not been subject to external combustion, and an intermediate zone is provided forming a narrowed throat between the prereduction and metallization zones. The 15 reducing gas is introduced at a boundary between the intermediate and metallization zones, such that passage of rich fuel gas from the prereduction zone to the metallization zone is inhibited. The gas flows should be controlled so that about 5% to 10% of the volume of 20 reducing gas passes upwardly from the intermediate zone to the prereduction zone. *foe"
